"";"ano";"Estado";"Macrorregiao";"agressoes_e_confrontos";"MVII";"MCMD";"MG";"MCE";"populacao";"homicidios_Mapa_da_Violencia";"homicidios_ocultos_Mapa_da_Violencia";"MCE_total";"prop_hopmmd";"prop_hopmvii";"prop_MVII_ocultos_CMD";"homicidios_ocultos_CMD_media";"homicidios_ocultos_MVII_prop_media";"homicidios_ocultos_MVII_rand_media";"homicidios_intencionais_prop_media";"homicidios_intencionais_rand_media";"homicidios_intencionais_prop_sd";"homicidios_intencionais_rand_sd";"homicidios_intencionais_prop_li";"homicidios_intencionais_prop_ls";"homicidios_intencionais_rand_li";"homicidios_intencionais_rand_ls";"diferenca_metodos";"tx_agressoes";"tx_homicid_ajprop";"tx_homicid_ajrand";"mortes_violentas"
"920";2024;"Rio Grande do Norte";"Nordeste";809;183;545;23527;1452,99466666667;3446071;NA;NA;2354;0,0352434408040726;0,37292817679558;0,00800591741722143;19,1626666666667;67,9223333333333;92,0053333333333;896;920;15,3781643132684;30,5716751003192;869;929;861;979;-24;23,4760107960631;26,0006250596694;26,6970703737677;2372,99466666667
"921";1979;"Rio Grande do Sul";"Sul";539;1271;4924;49704;3341,89966666667;7662948;NA;NA;4514;0,0120586856032692;0,166461159062885;0,0284049038654787;60,373;211,937666666667;633,100333333333;811;1232;72,570018754967;200,712400658625;695;983;854;1620;-421;7,03384650398254;10,5833942759366;16,0773634376744;4573,89966666667
"922";1980;"Rio Grande do Sul";"Sul";633;1307;5312;52308;3762,33766666667;7745084;NA;NA;5042;0,0134902227801775;0,169700214132762;0,027831563716833;73,5573333333333;220,777666666667;646,662333333333;927;1353;81,817142396505;204,459319387298;799;1110;951;1749;-426;8,172926207127;11,9688824549869;17,4691455896411;5115,33766666667
"923";1981;"Rio Grande do Sul";"Sul";664;1273;4824;50404;3798,443;7887295;NA;NA;5105;0,0145894122551063;0,173493347247587;0,0279502424255721;72,9006666666667;221,342333333333;642,557;958;1379;77,0266381541376;203,991662592759;833;1130;992;1779;-421;8,41860232183531;12,1461160004793;17,4838141593537;5177,443
"924";1982;"Rio Grande do Sul";"Sul";689;1257;4715;50306;3914,709;8032066;NA;NA;5234;0,0151342340761537;0,173453996983409;0,0275925600982629;74,3693333333333;217,455333333333;630,291;981;1394;77,4479781616624;195,229303948619;858;1168;1021;1772;-413;8,57811676348277;12,2135450580212;17,3554350773512;5308,709
"925";1983;"Rio Grande do Sul";"Sul";663;1385;4996;52505;4096,52133333333;8177845;NA;NA;5454;0,0139760050515681;0,163144963144963;0,0291728057251105;72,2053333333333;225,380333333333;694,478666666667;961;1430;79,3810122736671;221,193157553113;834;1142;1006;1855;-469;8,10727031387853;11,7512620990004;17,4862693044439;5526,52133333333
"926";1984;"Rio Grande do Sul";"Sul";686;1450;5288;54894;4063,581;8326282;NA;NA;5470;0,0138488519765356;0,170853021636409;0,0292499042473844;76,1593333333333;247,665;720,419;1010;1483;86,7977731609369;224,919081882842;876;1208;1067;1925;-473;8,23897148811438;12,1302641443083;17,8110710158508;5546,581
"927";1985;"Rio Grande do Sul";"Sul";681;1313;4797;53432;4148,61033333333;8473436;NA;NA;5487;0,0140225347479233;0,163353293413174;0,0270170244263509;68,315;214,746666666667;657,389666666667;964;1407;74,9510178866814;210,220914886953;845;1138;1018;1814;-443;8,03688137846324;11,3767307618775;16,6048342136531;5555,61033333333
"928";1986;"Rio Grande do Sul";"Sul";770;1579;4727;54646;4456,64066666667;8615455;NA;NA;6017;0,0154447115384615;0,173687767515206;0,031650641025641;73,369;274,298;790,359333333333;1118;1634;85,0569201822538;246,932727251408;968;1311;1165;2111;-516;8,93742698441348;12,9766796994471;18,9659164838073;6090,64066666667
"929";1987;"Rio Grande do Sul";"Sul";822;1472;4692;55971;4422,58366666667;8755288;NA;NA;5981;0,0160491419656786;0,182483370288248;0,0287246489859594;76,7676666666667;268,890666666667;736,416333333333;1168;1635;83,5527016232174;233,538676843603;1026;1361;1189;2087;-467;9,38861177382172;13,3405091871335;18,674428528222;6057,58366666667
"930";1988;"Rio Grande do Sul";"Sul";1100;470;4755;58738;4616,37366666667;8892874;NA;NA;5951;0,0203949318316538;0,200839109813937;0,00872480735032602;97,741;94,3926666666667;234,626333333333;1292;1432;68,3793076141617;96,9060197224182;1195;1460;1255;1628;-140;12,3694544643273;14,5284865162826;16,1027807208333;6048,37366666667
"931";1989;"Rio Grande do Sul";"Sul";1561;865;5277;57532;4614,30866666667;9028298;NA;NA;6609;0,0298913043478261;0,271888598781549;0,0165722596448255;161,1;235,664333333333;433,691333333333;1958;2156;98,4442645305549;160,217707186568;1805;2187;1853;2477;-198;17,290080588833;21,6873656585106;23,8804700509443;6770,30866666667
"932";1990;"Rio Grande do Sul";"Sul";1704;802;4692;58807;4401,959;9159235;NA;NA;6508;0,0315063936728509;0,298755913790082;0,014838495084633;149,851;237,750666666667;402,041;2092;2256;91,5598022952995;149,437492587136;1947;2309;1978;2555;-164;18,6041738201935;22,8403354646977;24,6308780154674;6657,959
"933";1991;"Rio Grande do Sul";"Sul";1694;566;4124;58024;4578,94533333333;9288227;NA;NA;6557;0,0314465408805031;0,282877169559413;0,0105192853564869;132,515333333333;160,244333333333;284,054666666667;1987;2111;79,4286191604521;115,690932649448;1865;2173;1902;2356;-124;18,2381416819378;21,392672681234;22,7276960392979;6689,94533333333
"934";1992;"Rio Grande do Sul";"Sul";1570;506;4195;60316;4570,25966666667;9397527;NA;NA;6393;0,0279925875770643;0,266813858695652;0,0090338904529418;117,327;135,09;252,740333333333;1822;1940;73,3741487144248;102,298304550598;1714;1998;1751;2147;-118;16,7065228969281;19,3880794383459;20,6437289299621;6510,25966666667
"935";1993;"Rio Grande do Sul";"Sul";1177;1488;4449;64504;4545,188;9506211;NA;NA;6463;0,019615025975756;0,236736334405145;0,0247935260423605;89,2936666666667;352,697666666667;740,812;1619;2007;91,166289579395;234,657977966721;1464;1819;1560;2468;-388;12,3813788690363;17,030970593857;21,1125126509395;6552,188
"936";1994;"Rio Grande do Sul";"Sul";1334;1163;4110;63675;4694,06533333333;9615190;NA;NA;6616;0,0224121142933888;0,244774477447745;0,0195413490917638;94,1926666666667;285,123666666667;587,934666666667;1713;2016;80,6686561016605;184,495806692504;1577;1888;1668;2376;-303;13,8738808073475;17,8155605869463;20,9668243685252;6710,06533333333
"937";1995;"Rio Grande do Sul";"Sul";1439;958;3937;65039;4940,80166666667;9724109;NA;NA;6858;0,023566764315991;0,244026436197255;0,0156948104021079;93,8686666666667;232,932666666667;478,198333333333;1766;2011;73,2072694454276;154,863555271246;1648;1930;1706;2310;-245;14,7982709778346;18,1610469401361;20,6805579822275;6951,80166666667
"938";1996;"Rio Grande do Sul";"Sul";1482;783;2926;67596;4941,94766666667;9833214;NA;NA;6812;0,0229314530469608;0,245936981757877;0,0121228989809961;66,7903333333333;193,445666666667;388,052333333333;1742;1937;56,6852894910272;127,716071990061;1646;1870;1698;2190;-195;15,0713693406856;17,7154692250164;19,6985441382645;6878,94766666667
"939";1997;"Rio Grande do Sul";"Sul";1648;597;2719;64312;4940,57633333333;9942696;NA;NA;6889;0,0267720881904082;0,262037184172891;0,00970873786407767;74,5266666666667;157,232;300,423666666667;1880;2023;51,8719512324703;102,254916210348;1794;1995;1831;2224;-143;16,574981272685;18,9083524227232;20,3465941229622;6963,57633333333
"940";1998;"Rio Grande do Sul";"Sul";1524;588;3134;69505;4665,717;10052874;NA;NA;6484;0,022976556379196;0,2586060708835;0,00887422407039113;72,9863333333333;151,922333333333;294,283;1749;1891;55,1378247496967;101,94067928745;1663;1878;1698;2095;-142;15,1598438416715;17,3980097631782;18,8105411447512;6556,717
"941";1999;"Rio Grande do Sul";"Sul";1533;559;2693;67269;4608,01533333333;10164353;NA;NA;6422;0,0237545875466497;0,261596180081855;0,0086718181395853;64,1283333333333;146,945666666667;280,984666666667;1744;1878;49,2434039062705;96,8151914289822;1664;1859;1694;2071;-134;15,0821208196921;17,158003072109;18,4763358769614;6486,01533333333
"942";2000;"Rio Grande do Sul";"Sul";1668;594;2287;67953;4592,08466666667;10269487;NA;NA;6555;0,025416114639012;0,279939617577994;0,00906086771133141;58,327;167,432666666667;294,915333333333;1894;2021;45,956696057554;97,8168781709336;1817;1999;1831;2210;-127;16,2422913627526;18,4429855162191;19,6796587794502;6613,08466666667
"943";2001;"Rio Grande do Sul";"Sul";1854;467;2548;68296;4514,21733333333;10352540;NA;NA;6602;0,0282133568571385;0,302314211212516;0,00711797898066891;72,554;141,146666666667;233,782666666667;2068;2160;48,3894435351083;83,1789410506068;1987;2180;2007;2326;-92;17,9086485055841;19,9757740612449;20,8644448608747;6674,21733333333
"944";2002;"Rio Grande do Sul";"Sul";1912;484;3055;69357;4755,38166666667;10430916;NA;NA;6910;0,0288523897862842;0,297650536797884;0,00731490279474534;89,3623333333333;143,739;242,618333333333;2145;2244;58,0881038379752;90,3030776967359;2054;2284;2075;2425;-99;18,3301255613601;20,563869942007;21,5129716316381;6999,38166666667
"945";2003;"Rio Grande do Sul";"Sul";1908;546;3681;70534;4706,92533333333;10504486;NA;NA;6889;0,0285547611212493;0,300914249684742;0,00818200855595776;106,052666666667;165,134333333333;274,074666666667;2179;2288;66,6167944047564;103,097792594385;2077;2339;2096;2496;-109;18,1636683603558;20,7435185310352;21,7811704447033;6994,92533333333
"946";2004;"Rio Grande do Sul";"Sul";1982;480;3274;72242;4800,23333333333;10573529;NA;NA;7022;0,0287520480215749;0,303071985327831;0,00697414780553582;95,4463333333333;145,370666666667;239,766666666667;2223;2317;59,8968952201949;89,7671748444823;2128;2358;2154;2506;-94;18,744924234851;21,0242010969091;21,9132136489151;7117,23333333333
"947";2005;"Rio Grande do Sul";"Sul";2021;446;2953;71229;4686,032;10638582;NA;NA;6930;0,0296146579375192;0,311796453353894;0,00654686058262665;87,3493333333333;138,704;222,968;2247;2331;57,1197050861195;83,9532807618168;2159;2378;2174;2508;-84;18,9968926309916;21,1212358940317;21,9108148059582;7017,032
"948";2006;"Rio Grande do Sul";"Sul";1983;484;2851;72357;4750,79933333333;10699033;NA;NA;6976;0,0285438876659905;0,305559833667026;0,0069777144748011;80,1456666666667;147,838666666667;242,200666666667;2211;2305;52,573910766209;89,5832542370622;2127;2331;2134;2488;-94;18,5343853037933;20,6654190149708;21,5440030888773;7055,79933333333
"949";2007;"Rio Grande do Sul";"Sul";2199;467;2770;75305;4847,001;10751080;NA;NA;7278;0,0303297672879674;0,322959483264827;0,00645196867762215;85,05;151,591;231,999;2436;2516;53,7622380959135;84,6880862714395;2348;2557;2360;2688;-80;20,4537590642056;22,6581887587108;23,4023000479952;7363,001
"950";2008;"Rio Grande do Sul";"Sul";2380;400;2430;73996;4815,82733333333;10798740;NA;NA;7397;0,0332695236631408;0,340240068591026;0,00560314111252393;81,875;135,687666666667;201,172666666667;2598;2663;50,0918603272618;75,8150207215643;2518;2715;2522;2818;-65;22,0396083246749;24,0583623644981;24,6602844405921;7478,82733333333
"951";2009;"Rio Grande do Sul";"Sul";2242;508;2688;76788;4860,52133333333;10845002;NA;NA;7358;0,0302694970378268;0,327397460224785;0,00686900311736684;83,434;165,277666666667;255,478666666667;2491;2581;53,9600879748508;90,3477980607554;2405;2610;2414;2758;-90;20,6731174415643;22,9691059531386;23,7989813187679;7441,52133333333
"952";2010;"Rio Grande do Sul";"Sul";2085;518;2548;77985;4915,08633333333;10879460;NA;NA;7257;0,0276518465494843;0,309495548961424;0,00687982184045176;69,9266666666667;160,681666666667;256,913666666667;2316;2412;49,6168406307806;90,3850724787998;2236;2435;2244;2592;-96;19,1645541230907;21,287821270541;22,1702180071437;7327,08633333333
"953";2011;"Rio Grande do Sul";"Sul";2077;399;2723;80148;4890,286;10908380;NA;NA;7167;0,026838529692868;0,306987738218348;0,00516622323250588;73,109;122,694666666667;199,714;2273;2350;49,7876027576311;75,3050637200046;2195;2391;2213;2503;-77;19,0404074665532;20,8371912236281;21,5430705567646;7240,286
"954";2012;"Rio Grande do Sul";"Sul";2382;433;2801;79456;4976,685;10944672;3257;875;7575;0,0310869338342726;0,333613327733445;0,00566165727405552;87,7186666666667;144,254666666667;216,315;2614;2686;54,5835299591659;82,7924758935079;2527;2734;2534;2855;-72;21,7640144903383;23,8837673710094;24,5416217132866;7662,685
"955";2013;"Rio Grande do Sul";"Sul";2322;281;2966;83016;5303,551;10985031;3418;1096;7766;0,0290190003872531;0,31031258348918;0,00352275424416934;86,377;87,2766666666667;140,449;2496;2549;52,4633064092929;65,4596978912675;2418;2622;2436;2695;-53;21,137855687435;22,7218293694392;23,2043041116589;7852,551
"956";2014;"Rio Grande do Sul";"Sul";2724;328;2891;82166;5075,89533333333;11027344;2845;121;7963;0,0343735809072103;0,356862231534835;0,0041500580251274;100,673666666667;117,234666666667;163,104666666667;2942;2988;56,1051975752147;72,4140303704127;2853;3074;2861;3136;-46;24,7022311084156;26,6791350664312;27,0962799383061;8063,89533333333
"957";2015;"Rio Grande do Sul";"Sul";2944;261;2692;82349;4820,38666666667;11070711;3035;91;7895;0,0369705490973914;0,385723641126392;0,00328906073464059;100,617666666667;100,394666666667;130,613333333333;3145;3175;54,5498922529076;66,3918840403113;3063;3270;3063;3314;-30;26,5926912914627;28,4082928368377;28,6792781421175;7995,38666666667
"958";2016;"Rio Grande do Sul";"Sul";3225;259;3214;87583;5080,86433333333;11109776;3323;98;8436;0,0382363399312552;0,394472976277819;0,00308166409861325;123,557;101,91;130,135666666667;3450;3479;64,7260333827574;74,4696322106944;3355;3600;3354;3648;-29;29,0284880631257;31,053731416367;31,3147627818959;8559,86433333333
"959";2017;"Rio Grande do Sul";"Sul";3316;129;3219;86241;5262,167;11141074;3352;36;8643;0,0399527841682425;0,389547856723429;0,00156583115522205;128,331333333333;50,2666666666667;64,833;3495;3509;64,0730170443929;65,7987220126277;3397;3647;3405;3659;-14;29,7637373201183;31,3704046845035;31,4960658191481;8771,167
"960";2018;"Rio Grande do Sul";"Sul";2699;223;3456;88618;5211,782;11167531;2763;64;8022;0,0317039089745547;0,346153846153846;0,00263025022603713;109,02;77,3643333333333;111,218;2885;2919;63,1493248866006;70,5759142759905;2793;3040;2807;3085;-34;24,1682785568269;25,8338212806394;26,1382753269277;8130,782
"961";2019;"Rio Grande do Sul";"Sul";2184;203;3445;89238;5326,512;11194346;2245;61;7612;0,0254679814439238;0,294871794871795;0,00237778865654941;87,042;59,6;101,488;2331;2373;55,4191206081107;62,6701014349849;2252;2465;2271;2515;-42;19,5098489898383;20,8230119026158;21,1982013062666;7699,512
"962";2020;"Rio Grande do Sul";"Sul";2094;233;3738;92791;4999,202;11220286;2170;76;7210;0,0235250522155097;0,300229292060762;0,00262761919734094;86,9163333333333;70,1023333333333;116,798;2251;2298;56,7423729134601;65,4953479881708;2172;2387;2188;2445;-47;18,6626258902848;20,0618772106166;20,4807613638369;7297,202
"963";2021;"Rio Grande do Sul";"Sul";1889;290;3982;117722;5630,599;11227789;1977;88;7665;0,0166166993432447;0,256236442516269;0,00255844418459483;66,3893333333333;74,2703333333333;145,401;2030;2101;53,276730160059;67,4825286310887;1959;2158;1982;2250;-71;16,8243275679655;18,0801402662626;18,7124998519299;7731,599
"964";2022;"Rio Grande do Sul";"Sul";1964;313;3788;104096;5789,15766666667;11220506;2053;89;7910;0,0195894685422046;0,258620689655172;0,00313032728867799;74,885;80,966;156,842333333333;2120;2196;55,4931163387586;71,0518574120536;2043;2259;2075;2348;-76;17,5036669469273;18,8939785781497;19,5713098856683;7985,15766666667
"965";2023;"Rio Grande do Sul";"Sul";1981;196;3064;93516;5948,67866666667;11222292;NA;NA;8028;0,0219119321636651;0,253032043916762;0,0021779266580434;66,3246666666667;49,3503333333333;98,3213333333333;2097;2146;46,1151050015404;54,8234428624814;2034;2210;2056;2268;-49;17,6523654882621;18,6860224275041;19,122653375977;8094,67866666667
"966";2024;"Rio Grande do Sul";"Sul";1701;235;3075;101480;6361,645;11229915;NA;NA;8180;0,0172956933520314;0,214195821797131;0,00239822775034043;52,7736666666667;50,218;117,355;1804;1871;42,2034829749152;55,2996455246681;1747;1905;1778;1990;-67;15,1470425199122;16,0642355707946;16,6608562932133;8232,645
"967";1979;"Rondônia";"Norte";90;25;651;2842;238,426666666667;453029;NA;NA;341;0,041514598540146;0,287066246056782;0,0118613138686131;27,1076666666667;7,147;12,5733333333333;124;130;14,2979470082866;14,7058942868359;103;158;107;164;-6;19,8662778762507;27,3713161850566;28,69573471014;368,426666666667
"968";1980;"Rondônia";"Norte";118;58;784;3237;286,872666666667;489253;NA;NA;434;0,0484922575387123;0,315649867374005;0,0240423797881011;38,5406666666667;18,1846666666667;29,1273333333333;175;186;18,580499720913;20,0968091143559;146;218;151;231;-11;24,1184009091411;35,7688149076245;38,0171404161037;472,872666666667
"969";1981;"Rondônia";"Norte";128;47;599;3000;277,609;549675;NA;NA;429;0,0537052456286428;0,336814621409922;0,0199833472106578;32,813;15,6613333333333;23,391;176;184;14,7969250483285;16,2069307870176;152;211;156;220;-8;23,2864874698686;32,0189202710693;33,4743257379361;461,609
"970";1982;"Rondônia";"Norte";123;56;547;3154;336,217;611185;NA;NA;487;0,0475460122699387;0,287037037037037;0,0218558282208589;26,708;16;27,783;166;177;13,3491873510829;15,6090935120127;144;196;150;212;-11;20,12483945123;27,1603524301153;28,9601348200627;513,217
"971";1983;"Rondônia";"Norte";142;131;558;3914;461,603;673123;NA;NA;668;0,0425975573428657;0,265799256505576;0,0393208221626452;24,5996666666667;34,638;64,397;201;231;14,8213946420459;23,5197303299553;176;235;188;278;-30;21,0956987058829;29,8608129569187;34,3176507116827;692,603
"972";1984;"Rondônia";"Norte";207;104;612;4512;553,356;736190;NA;NA;812;0,0533196616252243;0,293370944992948;0,0269161753396565;33,569;30,4743333333333;51,644;271;292;16,3899053857877;22,3069233784089;243;306;252;338;-21;28,1177413439465;36,8111492956981;39,6636737798666;845,356
"973";1985;"Rondônia";"Norte";319;96;583;4712;596,99;798713;NA;NA;964;0,0774818401937046;0,368239355581128;0,0234866828087167;46,018;35,314;48,01;400;413;18,1003218171196;22,5102521787529;369;440;372;460;-13;39,9392522720927;50,080567112342;51,7081855434931;1009,99
"974";1986;"Rondônia";"Norte";371;144;653;5493;762,165333333333;859053;NA;NA;1205;0,0768436273497211;0,350282485875706;0,0299524891551332;51,7916666666667;50,184;71,8346666666667;473;495;20,9240136208191;29,1876345831543;437;518;439;553;-22;43,1870909012599;55,0606307177788;57,6215902860475;1257,16533333333
"975";1987;"Rondônia";"Norte";428;164;669;5534;740,238333333333;918465;NA;NA;1251;0,0881627620221948;0,394301470588235;0,0339087546239211;60,853;64,5003333333333;82,7616666666667;553;572;22,6915430119603;32,8622401422151;514;601;509;638;-19;46,5994893654086;60,2091533155863;62,2778222360133;1312,23833333333
"976";1988;"Rondônia";"Norte";432;133;607;5446;728,267333333333;976922;NA;NA;1227;0,0894628099173554;0,395433789954338;0,0276859504132231;55,7073333333333;52,3303333333333;66,7326666666667;540;554;20,4239882079953;28,4755336854797;505;585;503;612;-14;44,2205211879761;55,2756514849701;56,7087239308768;1282,26733333333
"977";1989;"Rondônia";"Norte";490;39;651;5488;815,414333333333;1034460;NA;NA;1325;0,101488218272013;0,381507381507382;0,00826787928896238;66,1486666666667;14,8803333333333;19,5856666666667;571;576;21,4035089583907;22,2231495820913;534;616;537;623;-5;47,3677087562593;55,1978810200491;55,6812249869497;1391,41433333333
"978";1990;"Rondônia";"Norte";555;44;778;5566;750,042666666667;1090093;NA;NA;1327;0,116099394445605;0,433021806853583;0,00939653372311547;91,192;19,02;21,9573333333333;665;668;26,6970903697651;27,4175054680567;621;724;621;728;-3;50,9130872320068;61,0039693860982;61,279175263028;1418,04266666667
"979";1991;"Rondônia";"Norte";491;46;810;4878;622,282;1148662;NA;NA;1136;0,120914229540428;0,45096241979835;0,0115507495699189;99,3623333333333;20,6256666666667;22,718;611;613;28,9127510231024;29,2527797242602;562;675;563;677;-2;42,7453855006956;53,1923228939409;53,3664385171617;1235,282
"980";1992;"Rondônia";"Norte";395;67;772;4320;615,52;1175547;NA;NA;1044;0,111580726965342;0,404907975460123;0,0191603268526345;88,012;26,9953333333333;33,48;510;516;26,7868959036492;28,2525870005576;463;569;466;578;-6;33,6013787623974;43,3840586552473;43,894459345309;1131,52
"981";1993;"Rondônia";"Norte";498;102;816;4813;669,246666666667;1202280;NA;NA;1218;0,124812406203102;0,446732318710833;0,0257628814407204;104,868;45,563;50,7533333333333;648;654;30,0698737072216;33,3728711340733;594;714;594;726;-6;41,4212995308913;53,8975945703164;54,3966463718934;1323,24666666667
"982";1994;"Rondônia";"Norte";399;127;795;4768;664,539;1229086;NA;NA;1127;0,100654252642174;0,3996003996004;0,0322093608454957;82,2563333333333;50,6376666666667;63,461;532;545;26,3117755737733;31,7083044602851;486;589;486;609;-13;32,4631474119793;43,2841965493057;44,3418930815256;1209,539
"983";1995;"Rondônia";"Norte";330;267;980;5314;751,803666666667;1255878;NA;NA;1215;0,0763552479815456;0,348788198103267;0,0618223760092272;79,8293333333333;93,0186666666667;133,196333333333;503;543;32,0903852725752;50,967226992431;446;571;449;648;-40;26,2764376794561;40,0516610689892;43,2366838180142;1294,80366666667
"984";1996;"Rondônia";"Norte";301;202;675;4606;665,224;1282715;NA;NA;1068;0,0768056968463886;0,348327566320646;0,0516276703967447;54,543;70,421;101,776;426;457;23,1562253888255;36,8902543944842;385;475;386;530;-31;23,4658517285601;33,2108067653376;35,6275556144584;1122,224
"985";1997;"Rondônia";"Norte";355;87;680;4834;651,777333333333;1309645;NA;NA;1050;0,0856799037304452;0,369294605809129;0,021179302045728;59,1286666666667;32,265;43,2226666666667;446;457;21,0431849244867;24,2613018710535;411;491;413;509;-11;27,1065823181091;34,0550301799343;34,8949524489461;1108,77733333333
"986";1998;"Rondônia";"Norte";494;46;702;5497;704,156333333333;1336745;NA;NA;1221;0,103211009174312;0,420918367346939;0,00979983319432861;72,5183333333333;19,3653333333333;22,8436666666667;586;589;22,9178069452689;23,8814934885519;546;637;548;642;-3;36,9554402672163;43,8378299526088;44,0622557032194;1293,15633333333
"987";1999;"Rondônia";"Norte";432;14;717;5409;664,979666666667;1364166;NA;NA;1104;0,092265075644577;0,396883593033914;0,00319624973364586;65,9863333333333;5,54466666666667;7,02033333333333;504;505;22,0670045519693;22,2280749952596;468;551;468;554;-1;31,667700265217;36,9456503094198;37,0189551711449;1169,97966666667
"988";2000;"Rondônia";"Norte";466;36;616;5602;737,056;1376519;NA;NA;1221;0,0936434730298777;0,393760539629005;0,00741929015440144;58,24;14,14;17,944;538;542;19,5830734459259;20,1870911776992;505;582;508;584;-4;33,8535101949192;39,084095461087;39,3746835314296;1279,056
"989";2001;"Rondônia";"Norte";573;90;624;6015;740,091333333333;1397209;NA;NA;1358;0,106454005934718;0,452324665090623;0,0168768545994065;67,9873333333333;40,574;44,9086666666667;682;686;22,0212295237755;25,2186011364844;643;730;640;738;-4;41,010328447641;48,8115951156914;49,0978801310327;1426,09133333333
"990";2002;"Rondônia";"Norte";615;114;562;6028;817,66;1418120;NA;NA;1490;0,112676056338028;0,447349310094408;0,0210353027254436;63,925;50,74;57,34;730;736;20,3462551435423;26,4081408843622;694;772;686;788;-6;43,3672749837813;51,476602826277;51,8996981919725;1553,66
"991";2003;"Rondônia";"Norte";566;102;641;6319;793,336;1439286;NA;NA;1410;0,0998415213946117;0,433155080213904;0,0181369959499912;64,9973333333333;44,0506666666667;50,664;675;682;21,7575770722144;26,4262512250002;637;721;634;736;-7;39,3250542282771;46,8982537174682;47,384605978242;1475,336
"992";2004;"Rondônia";"Norte";563;97;594;6319;802,880666666667;1460771;NA;NA;1414;0,0984980789381767;0,427921092564492;0,0171149144254279;58,816;41,5083333333333;48,1193333333333;663;670;20,4200751152257;24,9443625955309;629;708;625;722;-7;38,5412908662617;45,3869908425071;45,8661898408443;1472,88066666667
"993";2005;"Rondônia";"Norte";555;49;402;6252;828,735333333333;1482624;NA;NA;1408;0,0950264911980858;0,408823529411765;0,00854554776961203;38,4683333333333;20,1103333333333;24,2646666666667;614;618;13,8135953572723;15,512229178448;590;645;589;650;-4;37,4336311836312;41,4130622463956;41,6828541828542;1446,73533333333
"994";2006;"Rondônia";"Norte";585;25;274;6072;779,340333333333;1504503;NA;NA;1377;0,101051905500948;0,433111603843311;0,00448353164338679;28,1766666666667;10,774;12,6596666666667;624;626;10,0645581787114;10,6917874087959;607;645;607;649;-2;38,8832724162065;41,475490577287;41,6084248419578;1405,34033333333
"995";2007;"Rondônia";"Norte";432;28;208;5565;665,826666666667;1526378;NA;NA;1112;0,0808137364688317;0,399078341013825;0,00541246733855916;16,9043333333333;11,1093333333333;14,1733333333333;460;463;7,60149595819729;8,59264680304714;447;477;448;481;-3;28,3022947133672;30,1367027040484;30,3332464173357;1128,82666666667
"996";2008;"Rondônia";"Norte";480;29;318;6289;811,455;1548087;NA;NA;1306;0,0805425318151373;0,376369327073552;0,00502344273275285;25,8623333333333;10,8636666666667;14,545;517;520;10,2388086091064;11,0250591925375;500;539;501;544;-3;31,0060093521876;33,3960559064187;33,5898434648699;1331,455
"997";2009;"Rondônia";"Norte";538;47;321;6837;874,416666666667;1569789;NA;NA;1436;0,0827067669172932;0,387769784172662;0,00736535215589995;26,8286666666667;18,173;23,5833333333333;583;588;10,9738388422284;12,8246278578847;564;606;565;616;-5;34,2721219221182;37,1387492204366;37,4572633646942;1462,41666666667
"998";2010;"Rondônia";"Norte";546;41;319;7225;961,607;1587848;NA;NA;1528;0,0791950195453887;0,36760752688172;0,00608078760677573;25,3463333333333;14,957;20,393;586;592;10,4912349555484;12,0008913566176;568;610;570;617;-6;34,3861629072808;36,905295721001;37,283165643059;1553,607
"999";2011;"Rondônia";"Norte";450;29;328;7014;932,637;1603348;NA;NA;1397;0,0674442949005533;0,329437545653762;0,00448631673396142;22,2596666666667;9,58333333333333;14,363;482;487;9,92514586829008;10,7720145897442;465;504;468;510;-5;28,0662713272477;30,0620950660742;30,3739425252659;1419,637
"1000";2012;"Rondônia";"Norte";526;34;317;7602;1023,035;1619871;532;6;1566;0,0723304968432611;0,343770384866275;0,00480373318693385;22,832;11,603;16,965;560;566;9,65802951838828;10,853220188627;544;581;546;589;-6;32,4717215136267;34,5706540829486;34,941053948123;1589,035
"1001";2013;"Rondônia";"Norte";483;26;311;7500;909,898;1635974;492;9;1406;0,0673157162726008;0,350470673425054;0,00375521557719054;20,828;9,15333333333333;13,102;513;517;9,22156877465963;9,96622003807273;497;534;500;538;-4;29,5236965868651;31,3574665612045;31,6019692244498;1426,898
"1002";2014;"Rondônia";"Norte";578;15;382;7655;893,412333333333;1651873;585;7;1479;0,0795985702502062;0,395221843003413;0,00219961506736321;30,223;5,864;7,58766666666667;614;616;11,4614958140476;11,636463752007;595;639;596;641;-2;34,9905834165217;37,1699277123605;37,2910023954626;1509,41233333333
"1003";2015;"Rondônia";"Norte";600;27;349;7948;894,552333333333;1666906;616;16;1508;0,0790789473684211;0,4055330634278;0,00368421052631579;27,507;10,933;13,4476666666667;638;641;10,8139437977157;11,4996242840848;620;662;621;666;-3;35,994831142248;38,274503781257;38,4544779369683;1535,55233333333
"1004";2016;"Rondônia";"Norte";703;18;406;8344;858,831666666667;1680084;711;8;1571;0,0886761556871142;0,453024453024453;0,00239324851996473;35,634;8,165;9,16833333333333;747;748;12,8928406792398;13,0811938968433;725;774;725;776;-1;41,8431459379412;44,4620626111552;44,5215834446373;1606,83166666667
"1005";2017;"Rondônia";"Norte";554;24;357;8219;891,908666666667;1691568;563;9;1458;0,0705837466615795;0,386759581881533;0,0031794480478189;25,4353333333333;9,26833333333333;12,0913333333333;589;592;10,8386505311932;11,256888027555;571;613;572;616;-3;32,7506786602726;34,8197648572212;34,997115102674;1483,90866666667
